vehicle,attribute,value
MDPVehicle #432: [424.20093847   3.99978919],class,<class 'MixTrafficSimulation.vehicle.controller.MDPVehicle'>
MDPVehicle #432: [424.20093847   3.99978919],position,[424.20093847   3.99978919]
MDPVehicle #432: [424.20093847   3.99978919],DEFAULT_INITIAL_SPEEDS,"[23, 25]"
MDPVehicle #432: [424.20093847   3.99978919],DEFAULT_TARGET_SPEEDS,[20. 25. 30.]
MDPVehicle #432: [424.20093847   3.99978919],DELTA_SPEED,5
MDPVehicle #432: [424.20093847   3.99978919],HISTORY_SIZE,30
MDPVehicle #432: [424.20093847   3.99978919],KP_A,1.6666666666666667
MDPVehicle #432: [424.20093847   3.99978919],KP_HEADING,5.0
MDPVehicle #432: [424.20093847   3.99978919],KP_LATERAL,1.6666666666666667
MDPVehicle #432: [424.20093847   3.99978919],LENGTH,5.0
MDPVehicle #432: [424.20093847   3.99978919],MAX_SPEED,40.0
MDPVehicle #432: [424.20093847   3.99978919],MAX_STEERING_ANGLE,1.0471975511965976
MDPVehicle #432: [424.20093847   3.99978919],MIN_SPEED,-40.0
MDPVehicle #432: [424.20093847   3.99978919],TAU_ACC,0.6
MDPVehicle #432: [424.20093847   3.99978919],TAU_HEADING,0.2
MDPVehicle #432: [424.20093847   3.99978919],TAU_LATERAL,0.6
MDPVehicle #432: [424.20093847   3.99978919],TAU_PURSUIT,0.1
MDPVehicle #432: [424.20093847   3.99978919],WIDTH,2.0
MDPVehicle #432: [424.20093847   3.99978919],_abc_impl,<_abc._abc_data object at 0x14e5f8680>
MDPVehicle #432: [424.20093847   3.99978919],action,"{'steering': -1.6538912965326033e-05, 'acceleration': 0.0}"
MDPVehicle #432: [424.20093847   3.99978919],check_collisions,True
MDPVehicle #432: [424.20093847   3.99978919],collidable,True
MDPVehicle #432: [424.20093847   3.99978919],crashed,True
MDPVehicle #432: [424.20093847   3.99978919],destination,[424.20093847   3.99978919]
MDPVehicle #432: [424.20093847   3.99978919],destination_direction,[0. 0.]
MDPVehicle #432: [424.20093847   3.99978919],diagonal,5.385164807134504
MDPVehicle #432: [424.20093847   3.99978919],direction,[1.00000000e+00 2.77556814e-05]
MDPVehicle #432: [424.20093847   3.99978919],heading,2.7755681429456167e-05
MDPVehicle #432: [424.20093847   3.99978919],history,"deque([], maxlen=30)"
MDPVehicle #432: [424.20093847   3.99978919],hit,False
MDPVehicle #432: [424.20093847   3.99978919],impact,[-1.47251519e-01 -4.08706626e-06]
MDPVehicle #432: [424.20093847   3.99978919],lane,<MixTrafficSimulation.road.lane.StraightLane object at 0x16051fd10>
MDPVehicle #432: [424.20093847   3.99978919],lane_index,"('0', '1', 1)"
MDPVehicle #432: [424.20093847   3.99978919],lane_offset,[ 4.24200938e+02 -2.10807201e-04  2.77556814e-05]
MDPVehicle #432: [424.20093847   3.99978919],log,[]
MDPVehicle #432: [424.20093847   3.99978919],on_road,True
MDPVehicle #432: [424.20093847   3.99978919],position,[424.20093847   3.99978919]
MDPVehicle #432: [424.20093847   3.99978919],prediction_type,constant_steering
